Продукт,Белки,Насыщенные,НЕнасыщенные,Простые,"Сложные 
перевариваемые",Растворимая,Нерастворимая,ККал,Макс. порций,Шаг
Банан,1.20,0.10,0.10,15.00,8.00,1.30,1.80,103.25,10.00,10.00
Грецкий оерх,15.20,6.10,57.10,2.60,7.00,2.00,4.00,677.00,15.00,1.00
Гречка,13.20,0.70,2.00,1.40,62.00,1.10,5.90,341.20,12.00,10.00
Картофель сырой,2.00,0.00,0.10,1.20,17.00,0.50,1.50,84.70,10.00,25.00
Макароны,12.50,0.30,0.80,1.10,70.50,1.20,2.50,351.85,20.00,10.00
Масло оливковое,0.00,14.00,86.00,0.00,0.00,0.00,0.00,900.00,10.00,1.00
Масло подсолнечное,0.00,11.00,84.50,0.00,0.00,0.00,0.00,859.50,10.00,1.00
Маш,23.00,0.30,1.50,3.00,59.00,1.50,6.50,368.20,10.00,5.00
Миндаль,21.20,3.70,44.50,4.40,9.50,3.30,8.60,592.05,30.00,1.00
Молоко,3.00,1.90,1.30,4.80,0.00,0.00,0.00,60.00,1.00,450.00
Отруби пшеничные,15.00,2.20,0.70,2.00,4.00,8.00,32.00,170.10,10.00,1.00
Протеин,79.50,3.30,0.00,0.00,15.00,0.00,2.10,410.85,30.00,1.00
Рис*,7.50,0.10,0.10,0.30,75.70,0.20,0.80,337.30,1.00,80.00
Семена чиа,16.00,3.70,26.70,1.00,6.00,6.00,31.00,421.10,10.00,1.00
Семечки подсолнечника*,21.00,5.00,48.00,1.00,2.00,1.50,4.50,582.00,30.00,1.00
Тилапия,20.10,0.80,1.70,0.00,0.00,0.00,0.00,102.90,1.00,120.00
Филе куриное,23.60,0.50,1.20,0.00,0.00,0.00,0.00,109.70,1.00,250.00
Филе пангасиуса*,15.00,1.00,2.00,0.00,0.00,0.00,0.00,87.00,1.00,200.00
Хлопья овсяные,14.00,1.20,4.80,1.50,55.00,4.50,6.50,352.50,30.00,2.00
Чечевица (крупа)*,22.00,0.50,3.50,2.00,60.00,2.50,8.50,388.50,10.00,5.00
Яйцо куриное ,12.60,3.10,8.00,0.60,0.60,0.00,0.00,155.10,2.00,70.00
Филе бедра без кожи куриное,20.00,1.20,2.80,0.00,0.00,0.00,0.00,116.00,25.00,10.00
Морковь,0.90,0.03,0.19,4.70,4.10,1.40,2.40,46.48,10.00,10.00
Кальмар сушеный,62.00,0.80,2.20,0.00,5.00,0.00,0.00,295.00,6.00,5.00
Фисташки в скорлупе,12.40,3.40,23.50,4.70,9.80,1.30,4.00,357.65,6.00,5.00
Пиво Bud Zero,0.40,0.00,0.00,2.80,3.20,0.00,0.00,25.60,1.00,450.00
Финики с косточкой,1.60,0.03,0.04,54.90,6.80,2.70,3.80,263.58,5.00,5.00
Семена льна,18.30,3.70,35.90,1.60,1.80,3.30,24.50,484.90,15.00,1.00
Груша вяленая,1.50,0.10,0.30,42.00,12.80,3.80,6.20,243.80,1.00,25.00
Сахар,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,2.00,5.00
